GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.repository,UserRepositoryImpl,0,93,0,0,0,19,0,3,0,3
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.repository,FollowRepositoryImpl,31,109,5,5,3,23,4,13,1,11
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.repository,PostRepositoryImpl,13,78,1,3,1,17,3,5,2,4
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.service,UserServiceImpl,34,292,8,20,8,77,8,17,0,11
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.service,PostServiceImpl,10,158,2,10,3,40,2,9,0,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.utils,Constants,3,0,0,0,1,0,1,0,1,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto.request,WhoAndHowManyFollowsMeRequestDTO,0,17,0,0,0,4,0,5,0,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto.request,UserIdDTO,0,10,0,0,0,3,0,3,0,3
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto.request,FollowRequestDTO,0,17,0,0,0,4,0,5,0,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,ErrorDTO,21,0,0,0,4,0,5,0,5,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,ProductDTO,0,93,0,0,0,17,0,15,0,15
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,FollowersListDTO,6,18,0,0,2,3,2,5,2,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,FollowersCountDTO,0,24,0,0,0,5,0,7,0,7
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,ResponseDTO,0,10,0,0,0,3,0,3,0,3
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,PostListDTO,7,19,0,0,1,4,2,4,2,4
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,UserDTO,0,17,0,0,0,4,0,5,0,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,FollowedListDTO,6,18,0,0,2,3,2,5,2,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.dto,PostDTO,0,77,0,0,0,16,0,14,0,14
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.controller,UserController,56,24,0,0,16,8,4,3,4,3
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.controller,AppControllerAdvice,35,3,0,0,11,1,2,1,2,1
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.controller,ProductController,13,22,0,0,4,8,1,3,1,3
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,UserNotFoundException,3,0,0,0,1,0,1,0,1,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,OwnFollowingException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,InvalidDateException,3,0,0,0,1,0,1,0,1,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,InvalidArgumentException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,AlreadyFollowerExcepcion,3,0,0,0,1,0,1,0,1,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,NotSellerException,3,0,0,0,1,0,1,0,1,0
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.exceptions,NotFollowedException,0,4,0,0,0,2,0,1,0,1
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01,BeJavaHispW15G01Application,5,3,0,0,2,1,1,1,1,1
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.model,Product,0,66,0,0,0,9,0,14,0,14
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.model,User,11,22,0,0,2,4,3,4,3,4
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.model,Follow,0,17,0,0,0,4,0,5,0,5
be_java_hisp_w15_g01,ar.com.mercadolibre.bootcamp.be_java_hisp_w15_g01.model,Post,0,45,0,0,0,8,0,13,0,13
